Name,Age,Season,PA,wRC+,K%,BB%,ISO,PlayerId
"Brock Peterson",28,2012,80,118.13639709933042,0.2125,0.1,0.277777777,"4984"
"Brock Peterson",24,2008,44,58.07279382363611,0.386363636,0.09090909,0.175,"4984"
"Brock Peterson",25,2009,356,129.18576796268383,0.216292134,0.095505617,0.164556962,"4984"
"Brock Peterson",26,2010,502,104.81925856514722,0.260956175,0.101593625,0.19221968,"4984"
"Mike Esposito",25,2007,24,67.92856296529156,0.208333333,0,0,"4986"
"Alex Cintron",31,2010,61,53.23805571111714,0.196721311,0.06557377,0.070175439,"50"
"Alex Cintron",32,2011,25,83.34755395381104,0,0.04,0.045454546,"50"
"Alex Cintron",30,2009,118,62.01878185180701,0.152542372,0.016949152,0.10619469,"50"
"Alex Cintron",33,2012,32,74.29781878903566,0.0625,0.1875,0.08,"50"
"Alex Cintron",32,2011,66,115.18881444773154,0.136363636,0.075757575,0.15,"50"
"Alex Cintron",30,2009,19,183.30515547050575,0.052631578,0,0.055555555,"50"
"Alex Cintron",29,2008,71,100.39826321350841,0.154929577,0.028169014,0.106060606,"50"
"Stephen Vogt",26,2011,131,112.4787945947276,0.221374045,0.030534351,0.225806452,"5000"
"Stephen Vogt",27,2012,396,111.50362482994294,0.154040404,0.106060606,0.151862464,"5000"
"Caleb Gindl",22,2011,538,116.58128671313509,0.172862453,0.117100371,0.165254238,"5002"
"Caleb Gindl",23,2012,498,88.62841630140365,0.196787148,0.074297188,0.161504425,"5002"
"Jeff Weaver",31,2008,20,49.511876441526724,0.3,0.1,0,"503"
"Josh Donaldson",24,2010,348,110.36082458748837,0.227011494,0.129310344,0.238095238,"5038"
"Josh Donaldson",25,2011,503,101.83614998573299,0.198807157,0.10139165,0.177927928,"5038"
"Josh Donaldson",26,2012,234,162.28051090569068,0.145299145,0.098290598,0.263157895,"5038"
"Max Ramirez",23,2008,41,76.34351433369719,0.31707317,0.073170731,0.189189189,"5039"
"Max Ramirez",24,2009,320,77.11811720211766,0.265625,0.109375,0.102189781,"5039"
"Max Ramirez",25,2010,226,99.56532470933055,0.225663716,0.119469026,0.095238095,"5039"
"Max Ramirez",26,2011,91,35.794960931937005,0.186813186,0.032967032,0.107142857,"5039"
"Max Ramirez",26,2011,166,141.188071980747,0.204819277,0.084337349,0.290540541,"5039"
"Max Ramirez",26,2011,40,62.333525635140816,0.175,0.1,0.117647059,"5039"
"Max Ramirez",27,2012,445,116.10599732424383,0.184269662,0.105617977,0.173126615,"5039"
"Tony Abreu",24,2009,236,135.79817704988716,0.156779661,0.050847457,0.26146789,"5053"
"Tony Abreu",22,2007,253,124.13634819229067,0.134387351,0.055335968,0.162393163,"5053"
"Tony Abreu",27,2012,453,110.79802414148408,0.15231788,0.030905077,0.17016317,"5053"
"Tony Abreu",25,2010,102,114.30221307474564,0.205882352,0.039215686,0.159574468,"5053"
"Tony Abreu",26,2011,529,70.5173704380927,0.15879017,0.056710775,0.136645963,"5053"
"Yohan Flande",25,2011,10,-100,0.7,0,0,"5057"
"Yohan Flande",26,2012,12,-100,0.416666666,0,0,"5057"
"Andy Abad",35,2008,121,25.62168854709001,0.157024793,0.082644628,0.046728972,"506"
"Andy Abad",34,2007,300,114.32703741693292,0.116666666,0.08,0.178438661,"506"
"Niuman Romero",26,2011,28,-12.191284465200965,0.321428571,0.071428571,0,"5063"
"Niuman Romero",24,2009,284,65.59921606627015,0.095070422,0.073943661,0.05952381,"5063"
"Niuman Romero",25,2010,393,73.41167562740894,0.145038167,0.081424936,0.065714286,"5063"
"Bryan Bullington",26,2007,16,79.99767521067272,0.3125,0.125,0,"5066"
"Bryan Bullington",27,2008,13,-34.7215299093156,0.23076923,0.076923076,0,"5066"
"Franklin Morales",22,2008,26,31.7597322273726,0.192307692,0,0.045454546,"5088"
"Anthony Gose",21,2012,482,98.0805629755913,0.209543568,0.101659751,0.133333334,"5097"
"Jordany Valdespin",23,2011,113,89.66482585785165,0.221238938,0.03539823,0.130841122,"5098"
"Jordany Valdespin",24,2012,163,104.01848177377592,0.134969325,0.061349693,0.125827815,"5098"
"Rick Van Den Hurk",27,2012,14,22.993025118941148,0.285714285,0.142857142,0,"5099"
"Rick Van Den Hurk",24,2009,14,15.825138233773817,0.571428571,0.071428571,0,"5099"
"Rick Van Den Hurk",25,2010,24,-21.473247194144935,0.625,0.125,0,"5099"
"Guillermo Moscoso",28,2012,25,-100,0.48,0,0,"5106"
"Jeurys Familia",22,2012,19,-29.64736691505043,0.368421052,0,0.0625,"5114"
