PlayerId,PA,K%,BB%,ISO,wRC+,Age,WAR,success
10047,200,0.223234624,0.102505694,0.25,133.9146666462718,21.0,15.092160940749707,1
10053,200,0.133451957,0.05871886099999999,0.162213741,111.54574730825065,24.0,-0.9228815150400426,0
10099,200,0.160337552,0.084388185,0.16509433999999998,101.06984951349732,22.0,6.754716560140359,1
10166,200,0.229729729,0.08108108099999999,0.172284645,92.96301904264622,21.0,0.8116959179908296,0
10231,200,0.149870801,0.054263565,0.033613446,53.9833723608525,21.0,16.809595935664728,1
10264,200,0.22908018843,0.202688678835,0.25330303037999996,143.93405635984635,22.695,27.0179736421634,1
10459,200,0.17871428524,0.07257142826,0.13332998956,120.08124072555748,22.42,4.468291867155367,0
1050,200,0.196969696,0.075757575,0.18207283,117.74437440729534,24.0,-0.2889365064659796,0
10593,200,0.232558139,0.088372093,0.082474226,42.29612528423503,23.0,-0.0451048186880038,0
10816,200,0.166666666,0.083333333,0.260162601,137.63888027291915,23.0,11.681507125043526,1
109,200,0.22995440672,0.06334346431999999,0.11215900699999999,73.68866515378427,25.62,0.2398065774234203,0
11200,200,0.190064794,0.095032397,0.209756098,117.0041859515857,24.0,13.782308484203172,1
11205,200,0.120996441,0.094306049,0.157786886,146.59264805840908,23.0,18.4496173504746,1
11287,200,0.152482269,0.078014184,0.08,80.95836125169666,24.0,-2.177795008666621,0
1136,200,0.17849397574999998,0.06132530095,0.15097680105,109.64894354942419,23.85,0.216323771256505,0
11368,200,0.14053191465,0.16827659521000002,0.18386597904,154.6534942143507,22.91,40.03671322044431,1
11385,200,0.283911671,0.044164037,0.152542372,65.48776633509338,24.0,0.983903235888584,0
1159,200,0.198630136,0.102739726,0.065616797,76.57248356932274,25.0,0.0191064619706005,0
1165,200,0.193877551,0.040816326,0.10928961799999999,65.21636684565193,23.0,0.0320883049261305,0
11846,200,0.126,0.058692307039999995,0.05941471915999999,62.57832173388371,23.04,10.618916829220632,1
1191,200,0.22657766902999998,0.04870145543,0.12063389505,64.64393237732938,23.465,3.470384524481127,0
1433,200,0.166101694,0.040677966,0.104316547,63.771319438448515,22.0,16.330792121741517,1
1673,200,0.240816326,0.044897959,0.1,43.20673545267738,26.0,-0.0902589291281778,0
1718,200,0.142091152,0.075067024,0.051829268,88.92438062204869,26.0,-0.0855115150611646,0
173,200,0.17294900200000002,0.070953436,0.17560975599999998,107.46028950480314,25.0,-0.067389155217277,0
1766,200,0.269430051,0.08031088,0.270893372,112.59891271249822,26.0,2.132658161279408,0
